Std;Run;n_popu;prob_muta;fusion_param;p_type1;p_decrease_ratio;n_expe;score;iteration
19;1;-1;-1;-1;1;-1;-1;;
22;2;-1;-1;1;-1;1;1;;
8;3;-1;1;-1;1;1;-1;;
21;4;1;1;1;-1;1;-1;;
1;5;-1;-1;1;1;-1;1;;
4;6;1;1;1;1;-1;-1;;
7;7;1;-1;-1;1;-1;1;;
2;8;1;1;-1;-1;-1;-1;;
17;9;-1;1;1;-1;-1;-1;;
18;10;-1;-1;-1;-1;-1;1;;
12;11;1;1;-1;1;1;1;;
10;12;1;-1;1;1;1;1;;
3;13;-1;-1;-1;-1;1;-1;;
6;14;1;1;1;-1;-1;1;;
16;15;1;-1;-1;-1;1;1;;
20;16;-1;1;1;1;1;1;;
9;17;1;-1;1;-1;-1;-1;;
14;18;1;1;1;-1;-1;-1;;
13;19;-1;1;-1;-1;1;1;;
5;20;-1;1;-1;1;-1;1;;
11;21;1;-1;-1;1;1;-1;;
15;22;-1;-1;1;1;1;-1;;
